asin,domain_id,market,title,new_price,used_price,discount_percent
B07DHNX4XB,4,FR,,,,
B00MBLQGGE,4,FR,,,,
B09B96KFQX,4,FR,,,,
B07BHV6SHW,4,FR,,,,
B07PM9HWDT,4,FR,,,,
B07PMB5N38,4,FR,,,,
B09BSLJKFH,4,FR,,,,
B09BS7JLTT,4,FR,,,,
B0C4FHFVMT,4,FR,,,,
B07H4Z4JQG,4,FR,,,,
B00450LDR4,4,FR,,,,
B077XCXZKK,4,FR,,,,
B09ZD1J9ZQ,4,FR,,,,
B0BQHRSQG5,4,FR,,,,
B09H2KQTWF,4,FR,,,,
B0795DW9MT,4,FR,,,,
B01NABDNPH,4,FR,,,,
B01MZYSL9C,4,FR,,,,
B019YH3KOQ,4,FR,,,,
B07YGBMHCK,4,FR,,,,
B08HQ3VZ77,4,FR,,,,
B07YH9BMKW,4,FR,,,,
B08GYWKLZN,4,FR,,,,
B0BWMQPL88,4,FR,,,,
B0C9G5SM3H,4,FR,,,,
B0BG56B64Q,4,FR,,,,
B0B53BMVQR,4,FR,,,,
B09ZTHKFN3,4,FR,,,,
B07YGBVF81,4,FR,,,,
B07S92G6DL,4,FR,,,,
B07VLBPZMV,4,FR,,,,
B0BFB6YRRX,4,FR,,,,
B09GH5YPLT,4,FR,,,,
B08FWF2LRZ,4,FR,,,,
B07GGTZQX2,4,FR,,,,
B07K6MMPFK,4,FR,,,,
B07RFSVGDN,4,FR,,,,
B09Q2M2WGH,4,FR,,,,
B08FK7YPBB,4,FR,,,,
B09R7CXJJ5,4,FR,,,,
B09T3WMVT5,4,FR,,,,
B0BVPNWB5T,4,FR,,,,
B0BWRB9LFG,4,FR,,,,
B0BG7TW9HC,4,FR,,,,
B0BG7Q4VZ6,4,FR,,,,
B0BG7Q7VBL,4,FR,,,,
B0C3CXBGDK,4,FR,,,,
B0C3CX7NSV,4,FR,,,,
B0C17K93XZ,4,FR,,,,
B07T5XVYQL,4,FR,,,,
B0821CRNDX,4,FR,,,,
B09JD4ND26,4,FR,,,,
B07YM2DLBP,4,FR,,,,
B09NYNKPBK,4,FR,,,,
B08BF4NGWN,4,FR,,,,
B083BXTV5N,4,FR,,,,
B07S5G9VTF,4,FR,,,,
B09K3T6YN6,4,FR,,,,
B0948RZPRD,4,FR,,,,
B08P281G8Z,4,FR,,,,
B09BYJJT5X,4,FR,,,,
B09BYK2GGZ,4,FR,,,,
B09NYLKPBK,4,FR,,,,
B0BKPWJ82K,4,FR,,,,
B0BT7GLTL2,4,FR,,,,
B0BT7NHGPN,4,FR,,,,
B0BWGF2YCH,4,FR,,,,
B0C63VHVLP,4,FR,,,,
B09M1PQ8RN,4,FR,,,,
B09GR7HS6D,4,FR,,,,
B08X4FJF1N,4,FR,,,,
B08PC2ZQMM,4,FR,,,,
B07FXTJN7Y,4,FR,,,,
B09VSWSRWK,4,FR,,,,
