asin,title,price,market,keyword,scraped_at
B0FK6FTRZQ,"24,99 €
24
,
99€",,FR,clavier layout allemand,2026-02-19T20:40:43.774653+00:00
B006T02YRM,"33,11 €
33
,
11€",,FR,clavier layout allemand,2026-02-19T20:40:43.791853+00:00
B0DXL4PVH2,"29,99 €
29
,
99€",,FR,clavier layout allemand,2026-02-19T20:40:43.810480+00:00
B07Z1G3VG1,"45,05 €
45
,
05€",,FR,clavier layout allemand,2026-02-19T20:40:43.831044+00:00
B0C592RKDV,"59,99 €
59
,
99€",,FR,clavier layout allemand,2026-02-19T20:40:43.857732+00:00
B01ARGX3NM,"26,38 €
26
,
38€",,FR,clavier layout allemand,2026-02-19T20:40:43.910979+00:00
B07YLZG1SK,"55,93 €
55
,
93€",,FR,clavier layout allemand,2026-02-19T20:40:43.952271+00:00
B0DKTHFTMD,"30,65 €
30
,
65€",,FR,clavier layout allemand,2026-02-19T20:40:43.972703+00:00
B09J88KM8L,"113,03 €
113
,
03€",,IT,tastiera qwertz,2026-02-19T20:40:50.416095+00:00
B0BXXM31Y2,"126,50 €
126
,
50€",,IT,tastiera qwertz,2026-02-19T20:40:50.445494+00:00
B0B4W52FN5,"29,99 €
29
,
99€",,IT,tastiera qwertz,2026-02-19T20:40:50.470065+00:00
B077BT728N,"29,83 €
29
,
83€",,IT,tastiera qwertz,2026-02-19T20:40:50.489054+00:00
B003PAMIA2,"7,79 €
7
,
79€",,IT,tastiera qwertz,2026-02-19T20:40:50.508934+00:00
B003IZ5JXC,"17,48 €
17
,
48€",,IT,tastiera qwertz,2026-02-19T20:40:50.526050+00:00
B0D1G1P4T5,"19,99 €
19
,
99€",,IT,tastiera qwertz,2026-02-19T20:40:50.543686+00:00
B0797FYB3K,"33,27 €
33
,
27€",,IT,tastiera qwertz,2026-02-19T20:40:50.567245+00:00
B08KW8QHP2,"6,77 €
6
,
77€",,IT,tastiera qwertz,2026-02-19T20:40:50.594595+00:00
B0094QSF8U,"16,99 €
16
,
99€",,IT,tastiera qwertz,2026-02-19T20:40:50.615608+00:00
B08KWBJCNM,"15,76 €
15
,
76€",,IT,tastiera qwertz,2026-02-19T20:40:50.634541+00:00
B0CPM1TB52,"24,99 €
24
,
99€",,IT,tastiera qwertz,2026-02-19T20:40:50.654805+00:00
B07Y425Y2H,"36,99 €
36
,
99€",,IT,tastiera qwertz,2026-02-19T20:40:50.677157+00:00
B0072AEZJI,"16,99 €
16
,
99€",,IT,tastiera qwertz,2026-02-19T20:40:50.694193+00:00
